NomeCompleto;DataNascimento;CPF;Município;Logradouro;Nro;Complemento;Bairro;TelefoneCelular;PossuiPet
DENIS DUCK;19/03/1955;11111111829;São Paulo;RUA GABRIEL DE CARVALHO;S/N;;JD BOA VISTA;11992294953;S
BRUNO LUIZ ANTUNES DE ASSUNÇÃO;23/09/1991;11111111597;São Paulo;RUA SALOMAO WAIMBERG;145;;JD BONFIGLIOLI;11920370313;S
ANTONIO BASILIO FILHO;03/03/1978;11111111915;São Paulo;RUA PAULINO DE BRITO;770;;JD BRASIL;11997294237;S
CLARICE SILVA BARBOSA;13/09/1983;11111111722;São Paulo;RUA ANTENOR NAVARRO;414;;JD BRASIL;11959122813;S
MIGUEL AFFONSO COIMBRA NETO;30/01/1984;11111111753;São Paulo;RUA PEDRO LUIZ DE SOUZA;22;;JD BRASILIA;11968733433;S
GIOVANNI DA UDINE;10/10/1987;11111111229;São Paulo;RUA JASMIM DA ESPANHA;S/N;;JD BRASILIA;11993845044;N
ANDREA SOLARI;26/03/1967;11111111166;São Paulo;RUA FLORENCIO CARPI;S/N;;JD BRITANIA;11991976264;N
GILBERTO MACHADO DE OLIVEIRA MARQUES;21/07/1989;11111111682;São Paulo;RUA VALENTE DE NOVAES;S/N;;JD CAMARGO;11946722013;S
BENICIO CUNHA DE SOUZA JUNIOR;04/05/1999;11111111554;São Paulo;AV ACADEMIA DE SAO PAULO;772;;JD CAMARGO NOVO;11907039453;S
BRUNO DA SILVA NABUCO;12/12/2002;11111111601;São Paulo;RUA CANAL DE TUTOIA;S/N;;JD CAMARGO NOVO;11921610393;S
BEATRIZ HELENA FALCÃO BOTELHO;13/06/1988;11111111569;São Paulo;AV JOSE BORGES DO CANTO;8;;JD CAMARGO VELHO;11911689753;S
SILVANA ONÓRIO CORTEZ FAVARETTO;29/05/1971;11111111359;São Paulo;RUA LAGOA CAJUBA;S/N;;JD CAMPOS;11953542444;S
FRA BARTOLOMMEO;22/07/1982;11111111211;São Paulo;RUA FLOR DE PELICANO;S/N;;JD CASA PINTADA;11889315404;N
CRISTIANE VIVIAN ALVES GOMES;18/02/1976;11111111881;São Paulo;RUA DR RENATO BUENO NETO;S/N;;JD CATANDUVA;11998654917;N
VECCHIETTA PAOLO;27/03/1965;11111111283;São Paulo;RUA EDWARD CARMILO;S/N;;JD CELESTE;11977103964;N
AURELIA CINAQUI AMARAL;29/05/1988;11111111539;São Paulo;RUA EDWARD CARMILLO;S/N;;JD CELESTE;11902389153;S
EUDES APARECIDO MARTINS;17/08/1947;11111111856;São Paulo;RUA JOAQUIM MIGUEL DUTRA;237;;JD CELIA;11999655417;S
MARIO PALUMBO JUNIOR;04/01/1988;11111111821;São Paulo;RUA JOAO GOMES BATISTA;419;;JD CIDALIA;11989814793;N
ANIBAL DE FREITAS FILHO;05/08/2003;11111111511;São Paulo;RUA DR EUGENIO EGAS;250;;JD CLIMAX;11906419404;N
STANLEY HARVEY EISEN;20/01/1952;11111111119;São Paulo;RUA PITAGORAS;579;;JD COIMBRA;11972432322;N
ANDERSON SEVERIANO GOMES;16/04/1988;11111111465;São Paulo;ES DO CAPOEIRAO;S/N;;JD COLONIAL;11920680324;N
ANTONIO DONATO MADORMO;14/11/1958;11111111860;São Paulo;RUA PEDRO VITORATO;474;;JD COLORADO;11999495337;N
DENISE APARECIDA JANUARIA ASSUNÇÃO;30/10/1958;11111111830;São Paulo;RUA JOAO BATISTA DI VITORIANO;150;;JD CONSORCIO;11992604973;S
EDISON BARBOZA SANTOS;21/05/1964;11111111967;São Paulo;RUA DR VIRGILIO ALVIN FRANCO;10;;JD D ABRIL;11995213197;S
SIDNEI GOMES DA SILVA PAULO;16/04/2000;11111111616;São Paulo;RUA MORRO DO FRADE;S/N;;JD DA CONQUISTA;11926260693;S
DENILSON MIOTTO;15/02/1996;11111111759;São Paulo;RUA LAUDELINO VIEIRA DE CAMPOS;146;;JD DA FELICIDADE;11970593553;S
ANDREA JOSIANE PINTO NAKASSU;19/02/1992;11111111472;São Paulo;RUA PROFESSOR MACEDO SOARES;276;;JD DA GLORIA;11918510184;N
EDER DO NASCIMENTO RUETE;19/12/1965;11111111307;São Paulo;PC BRAS GONCALVES;S/N;;JD DA SAUDE;11969663484;N
DANILO ARAUJO VALDIVINO;25/09/1999;11111111804;São Paulo;PC BRAS GONCALVES;308;;JD DA SAUDE;11984544453;N
GUSTAVO RODRIGUES COSTA;15/02/2001;11111111544;São Paulo;RUA JOSE DA PENHA;8;;JD DANFER;11903939253;S
BIANCA DE JESUS;31/01/2003;11111111570;São Paulo;RUA LUMINARIAS;S/N;;JD DAS BANDEIRAS;11911999773;N
ANTONIO CARLOS FERREIRA DE OLIVEIRA;14/09/1976;11111111662;São Paulo;RUA LIRIO DA SERRA;18;;JD DAS CAMELIAS;11940521613;S
GIROLAMO ROMANI;12/07/1952;11111111233;São Paulo;RUA MARIA GARCIA BETIM;S/N;;JD DAS LARANJEIRAS;11992604964;N
CESARE DA SESTO;15/10/1958;11111111189;São Paulo;RUA MONSENHOR SALIM;4;;JD DAS OLIVEIRAS;11928555844;S
FRANCISCO JOSÉ PANSIGA JÚNIOR;01/01/1978;11111111701;São Paulo;RUA SERRA DOS DOIS IRMAOS;S/N;;JD DAS ROSAS;11952612393;S
BERNARDINO LUINI;07/07/1982;11111111181;São Paulo;RUA ENG NOGUEIRA SOARES;45;;JD DO RUSSO;11952716004;S
ALLAN LOURENÇO DE BRITO;23/10/2003;11111111438;São Paulo;RUA HENRIQUE ROSCHEL CHRISTI;S/N;;JD DOS ALAMOS;11929050864;S
INNOCENZO DA IMOLA;21/05/1961;11111111239;São Paulo;RUA CARAIPE DAS AGUAS;177;;JD DOS IPES;11990744844;S
GIULIO CLOVIO;20/09/1961;11111111237;São Paulo;RUA AGUIAS REAIS;S/N;;JD ELBA;11991364884;N
FABIANA CAROLINE DA SILVA;11/04/1965;11111111313;São Paulo;RUA TOME DA ROCHA;31;;JD ELBA;11967803364;N
ANDREA CRISTINA RIBEIRO DOS SANTOS;03/05/1977;11111111476;São Paulo;RUA PALMEIRA LACA;14A;;JD ELIANE;11917270104;S
EDICARLOS DE OLIVEIRA SANTOS;17/12/1982;11111111632;São Paulo;RUA RODOLFO MARCOS TEOFILO;248;;JD ELISEO;11931221013;S
DÉBORA PEDROSO MORAL QUEIROZ;02/10/1986;11111111812;São Paulo;AV MENDONCA E VASCONCELOS;108;;JD ESTER;11987024613;S
CARMEM MARIA UCHOA FERNANDES;16/07/1965;11111111670;São Paulo;RUA MANOEL PEREIRA ROSA;S/N;;JD FONTALIS;11943001773;S
FRANCESCO PESELLINO;04/10/1961;11111111219;São Paulo;RUA GUABIROBA DE MINAS;S/N;;JD GIANETTI;11886915244;S
MATURINO DA FIRENZE;25/04/1972;11111111254;São Paulo;RUA GAL PORFIRIO DA PAZ;371;;JD GRIMALDI;11986094544;N
ANDRÉ LUIZ DE MACEDO;01/05/1988;11111111495;São Paulo;RUA JOSE JOAQUIM;253;;JD GRIMALDI;11911379724;N
ANDREA DEL CASTAGNO;21/07/1972;11111111161;São Paulo;RUA HILEIA AMAZONICA;420;;JD GUAIRACA;11979596164;N
ARNALDO BISPO DO ROSÁRIO;19/04/1999;11111111524;São Paulo;RUA SOUZA CARVALHO;S/N;;JD GUARANI;11902389144;S
ANDRÉ LUIZ SANTOS ESTEVES;29/10/1981;11111111489;São Paulo;RUA JERONIMO FERNANDES;S/N;;JD GUARAU;11913239844;S
JACOPO DEL SELLAIO;08/01/1979;11111111240;São Paulo;RUA CAMOMILA;852;;JD HELENA;11990434824;N
ALAN QUINTAS GONÇALVES;15/10/2003;11111111409;São Paulo;RUA SALGUEIRO DO CAMPO;110;;JD IBIRAPUERA;11938041444;N
BENVENUTO TISI;16/09/1958;11111111177;São Paulo;RUA CUBAS DE MENDONCA;S/N;;JD IGUATEMI;11964796084;N
EMIDIO SEVERINO DA SILVA;22/08/1949;11111111874;São Paulo;RUA ERASMUS GRASSER;S/N;;JD IMBE;11998935057;N
LORENZO LOTTO;22/07/1950;11111111245;São Paulo;RUA JOSE LUIZ MONTEIRO;S/N;;JD IMBUIAS;11988884724;N
ANDREA DEL SARTO;25/04/1970;11111111162;São Paulo;RUA ERNESTO DOS SANTOS;S/N;;JD INDEPENDENCIA;11979896184;S
GEOVANNES CORDEIRO DA SILVA FILHO;24/04/1998;11111111615;São Paulo;ES DA MOENDA VELHA;S/N;;JD INDEPENDENCIA;11925950673;S
AMANDA VETTORAZZO CARNEIRO;14/05/1974;11111111446;São Paulo;AV INACIO CUNHA LEME;357;;JD IPANEMA;11926570704;S
FRANCISCO ALVES RODRIGUES;02/09/1976;11111111414;São Paulo;RUA VASCO BALBOA;S/N;;JD IPANEMA;11936491344;S
CHERUBINO ALBERTI;23/05/1964;11111111190;São Paulo;RUA GASTAO RAUL DE FONTON BOSQUET;S/N;;JD IPE;11925535824;N
CHUKS ILOEGBUNAM;21/03/1980;11111111708;São Paulo;RUA DOS MORGADOS;188;;JD IRACEMA;11954782533;N
ALEXANDRE MONTORO DE BUSTO;13/02/1991;11111111424;São Paulo;RUA LUISA TODI;S/N;;JD IRENE;11933391144;N
BIAGIO D'ANTONIO;19/01/1953;11111111186;São Paulo;RUA DIOGO JOSE MACHADO;S/N;;JD ITAPEMIRIM;11937615904;S
JAIR PEDRO DE SOUZA;10/09/1966;11111111324;São Paulo;RUA ROMILDO FINOZZI;21;;JD IVA;11964393144;N
PATRICIA MAZZARIOLI DO NASCIMENTO PIVA;05/08/1956;11111111904;São Paulo;RUA ROSARIO SCAMARTI;S/N;;JD JANGADEIRO;11997734457;S
CRISTIANO LUIZ PRETE;04/09/1981;11111111775;São Paulo;RUA DR HUMBERTO PASCALE;S/N;;JD JANGADEIRO;11975553873;N
GUSTAVO HIDEO TANAKA;31/10/1958;11111111878;São Paulo;RUA KANEDA;304;;JD JAPAO;11998774977;S
GIROLAMO SAVOLDO;28/08/1959;11111111234;São Paulo;RUA OSAKA;848;;JD JAPAO;11992294944;S
ALBERTO LUIZ DA SILVA;05/08/1979;11111111563;São Paulo;RUA PRESIDENTE FELIX PAIVA;S/N;;JD JARAGUA;11909829633;S
CLAIRE BARBAGALLO;16/04/1979;11111111721;São Paulo;RUA JOSINO VIEIRA GOES;S/N;;JD JOAMAR;11958812793;S
DEIVID LOPES DA SILVA;25/09/1999;11111111816;São Paulo;AV VATICANO;19;;JD JOAO XXIII;11988264693;S
EDMILSON OSORIO DOS SANTOS;06/10/1963;11111111961;São Paulo;RUA SALTO DE ITARARE;S/N;;JD JOSE MARIA;11995453317;N
DEMÓCRITO DE ÁBDERA;24/07/1964;11111111137;São Paulo;RUA ARNALDO MAGNICARO;398;;JD JURUBATUBA;11963547684;N
CINTIA COUTINHO BELTRAME MARIANO;01/02/1994;11111111717;São Paulo;RUA JOSE ANTONIO VALADARES;13;;JD LEAR;11957572713;S
CAROLINA OLGA FERNANDEZ GOMEZ;13/10/1976;11111111674;São Paulo;RUA HERMENEGILDO GOIS PARENTE;110;;JD LISBOA;11944241853;S
ANDRÉ DA SILVA ROSA;20/07/1990;11111111646;São Paulo;RUA AGOSTINHO PAIVA;S/N;;JD MACEDONIA;11935561293;S
BRUNO CAMILO DA SILVA;09/01/1993;11111111636;São Paulo;RUA COLONIAL DO IRAI;250;;JD MAGGI;11932461093;S
DANIEL ALVES DE OLIVEIRA MARIANO;06/08/2000;11111111796;São Paulo;RUA FRANCISCO ANTONIO MEIRA;S/N;;JD MAIA;11982064293;S
CAMILO PRUDENCIO GALHARDO;01/07/1965;11111111640;São Paulo;RUA JUCA DE AZEVEDO;33;;JD MARAJOARA;11933701173;N
SOLANGE MERY RISSOLI GIMENES;07/12/1962;11111111362;São Paulo;RUA MARIO WILCHES;S/N;;JD MARIA BORBA;11952612384;N
ANDERSON FERREIRA DA SILVA;20/04/1992;11111111464;São Paulo;PC DR CURADO FLEURY;3;;JD MARIA ESTELA;11920990344;N
SANDRA REGINA CARBONE TADEU MUDALEN;15/02/1966;11111111909;São Paulo;RUA ANTONIO VIEGAS DE ATAIDE;S/N;;JD MARIA SAMPAIO;11997534357;S
RAFAEL DA CONCEIÇÃO;05/06/1961;11111111269;São Paulo;RUA MAXIMO BARBOSA;S/N;;JD MARILU;11981444244;S
EDMAR JOSÉ VANÉTTE;06/03/1965;11111111308;São Paulo;RUA MENDONCA DRUMONT;185;;JD MARINGA;11969353464;N
ANTONIO CÉZAR DE OLIVEIRA XAVIER;17/01/1994;11111111695;São Paulo;RUA MONSENHOR SALIM;S/N;;JD MILIUNAS;11950752273;N
ANDERSON DA SILVA CRUZ;05/08/1995;11111111461;São Paulo;RUA BRAS DE ABREU;S/N;;JD MIRIAM;11921920404;N
REGINA DO NASCIMENTO;30/05/2000;11111111621;São Paulo;AV ANGELO CRISTIANINI;32;;JD MIRIAM;11927810793;N
BERNARDINO BUTINONE;18/01/1959;11111111178;São Paulo;RUA NAZARIO PAGANO;24;;JD MONJOLO;11961776064;N
BARTOLOMEO MONTAGNA;23/08/1956;11111111174;São Paulo;RUA AUGUSTO ALBERECI;S/N;;JD NAZARE;11973856144;S
CESAR DOS SANTOS;30/05/1976;11111111694;São Paulo;RUA JOSE GREEF BORBA;S/N;;JD NAZARE;11950442253;S
EDSON MARQUES PEREIRA;18/06/1968;11111111970;São Paulo;RUA ANASTACIO TRANCOSO;S/N;;JD NELIA;11995093137;S
SPINELLO ARETINO;04/12/1965;11111111277;São Paulo;RUA EDUARDO PEREIRA RAMOS;101;;JD NITEROI;11978964084;S
NELSON PEREIRA DOS SANTOS;29/02/1968;11111111338;São Paulo;RUA VISTOSA DE MADRE DE DEUS;51;;JD NOEMIA;11960052864;N
PROTÁGORAS DE ÁBDERA;04/02/1952;11111111148;São Paulo;RUA JOSE ALOYSIO BRANDAO VILELA;S/N;;JD NORDESTE;11963569904;N
DANIEL PEREIRA DA SILVA;11/05/1998;11111111797;São Paulo;AV MARAIAL;323;;JD NORDESTE;11982374313;N
ANA CLAUDIA PERES LUCAS LOPES;15/01/1984;11111111723;São Paulo;RUA ARVORE DE CERA;S/N;;JD NOVA CURUCA;11959432833;S
WILLIAM DE LUCCA MARTINEZ;08/05/1999;11111111825;São Paulo;RUA CARLO COCCIA;S/N;;JD NOVA SAPOPEMBA;11991054873;N
SERGIO RICARDO DE ALMEIDA DA SILVA;29/06/1965;11111111940;São Paulo;RUA ANGELO DE CANDIA;359;;JD NOVE DE JULHO;11996293737;S
DEIVETH MAIKON SANTANA DOS ANJOS;25/09/1999;11111111815;São Paulo;RUA DAS CAPITANIAS;S/N;;JD NOVE DE JULHO;11987954673;N
EDILEUZA VIEIRA CESTER;27/05/1980;11111111953;São Paulo;RUA LUAR DE LAGRIMAS;S/N;;JD NOVO HORIZONTE;11995773477;S
MARIA CELIA GOMES DE ALMEIDA;18/02/1987;11111111687;São Paulo;RUA ESTEVAO DIAS VERGARA;700;;JD NSRA DO CARMO;11948272113;S
MARIA APARECIDA DA SILVA;31/08/1978;11111111715;São Paulo;RUA DOURADOQUARA;S/N;;JD PARAGUASSU;11956952673;S
DOMENICO VENEZIANO;23/07/1949;11111111203;São Paulo;AV PATENTE;468;;JD PATENTE;11891715564;S
CARLOS ANDRÉ DA SILVA;02/09/1971;11111111655;São Paulo;RUA CAP PINTO FERREIRA C/ BATATAES;S/N;;JD PAULISTA;11938351473;S
BERNARDINO FUNGAI;04/01/1976;11111111180;São Paulo;RUA PROF TAMANDARE DE TOLEDO;S/N;;JD PAULISTA;11955736024;N
ANAXIMANDRO DE MILETO;21/01/1946;11111111126;São Paulo;RUA PENAFORTE;S/N;;JD PAULISTANA;11963525464;N
ADRIA GIACCHERI;19/09/1969;11111111384;São Paulo;RUA SAO LOURENCO DO SUL;S/N;;JD PERI ALTO;11945791944;S
EIDE CARLOS BATISTA LINARES;16/03/1985;11111111548;São Paulo;RUA AUGUSTO FARINA;S/N;;JD PINHEIROS;11905179333;S
JAIRO GONÇALVES DO NASCIMENTO JÚNIOR;25/07/1963;11111111325;São Paulo;RUA ADELINA LINHARES;S/N;;JD PIRATININGA;11964083124;S
JADSON JOSÉ BARACHO DA SILVA;04/09/1981;11111111749;São Paulo;RUA GONCALVES DE BARROS;S/N;;JD PIRITUBA;11967493353;S
EMPÉDOCLES DE AGRIGENTO;22/10/1977;11111111139;São Paulo;AV LOURIVAL FONTES;342;;JD PLANALTO;11963551724;S
CLEBER ARAÚJO BARBOSA;20/05/1989;11111111735;São Paulo;RUA DIOGO GARCIA;283;;JD PLANALTO;11963153073;N
ALEXANDRE GUIMARÃES DA COSTA ALECRIM;17/07/2002;11111111421;São Paulo;RUA RIO HIPIAUGUI;150;;JD PLANALTO;11934321204;N
ADRIANA CICERA DA SILVA;16/05/1967;11111111386;São Paulo;RUA ANDRE NATALE;98;;JD POPULAR;11945171904;N
ELIANE DE CASSIA GALVÃO;07/04/1973;11111111678;São Paulo;AV CACHOEIRA SANTA CRUZ;751;;JD POPULAR;11945481933;S
ANTONELLO DA MESSINA;28/09/1984;11111111168;São Paulo;RUA ANTONIO PEREIRA TAQUES;15;;JD PRESIDENTE;11991976264;S
DANIELE DA VOLTERRA;17/04/1965;11111111195;São Paulo;RUA FRANCISCO BARRETO;100;;JD PRIMAVERA;11910435724;N
VALDOMIRO NUNES DE QUEIROZ;09/04/1998;11111111585;São Paulo;AV EULINA;318;;JD PRIMAVERA;11916650073;N
DARLENE SANTOS DE JESUS NUNES;24/08/1984;11111111779;São Paulo;RUA MARIA JOSE RANGEL;649;;JD PRUDENCIA;11976793953;N
BRUNO CYPRIANO RINCO;24/05/1991;11111111599;São Paulo;RUA MANOEL DA COSTA DANTAS;5786;;JD RANIERI;11920990353;N
DIVALDO ROSA;05/03/1971;11111111855;São Paulo;AV CAXINGUI;S/N;;JD RAPOSO TAVARES;11999695437;N
ALESSO BALDOVINETTI;17/02/1955;11111111158;São Paulo;RUA PDE MARCIGAGLIA;19;;JD REGINA;11963590104;S
ANA LÚCIA SOARES;03/03/1978;11111111458;São Paulo;RUA DR CARMELO D'AGOSTINHO;S/N;;JD RINCAO;11922850464;S
ANDREIA URSULA OLIVEIRA LIMA;01/08/1970;11111111485;São Paulo;RUA JOAO BARBOSA DE LIMA;S/N;;JD ROBRU;11914479924;S
LUIZ CARLOS GONÇALVES DE BRITO;15/07/1982;11111111593;São Paulo;RUA BENEDITO DE SOUZA BORGES;S/N;;JD ROBRU;11919130233;S
MARIANE KAMILE DE PAIVA ZAPPAROLI;16/01/1966;11111111336;São Paulo;RUA DIOGO GONCALVES LACO;41;;JD ROMANO;11960672904;N
LEUCIPO DE ÁBDERA;21/02/1962;11111111142;São Paulo;RUA CARLOS NAHAS C/ CARLOS LACERDA;S/N;;JD ROSANA;11963557784;N
RITA DE CASSIA BORGES DOS SANTOS GUEDES;26/02/2002;11111111622;São Paulo;RUA CARLOS NAHAS;S/N;;JD ROSANA;11928120813;N
FRANCISCO DE ASSIS DAS CHAGAS SOARES;08/12/1979;11111111542;São Paulo;RUA LUIZA DE JESUS FERREIRA;30;;JD ROSELI;11903319213;S
ROBERTO PAULIS;01/10/1983;11111111560;São Paulo;RUA FRUTO DO PARAISO;12;;JD SANTANA;11908899573;N
OSVALDO SANTOS DA SILVA;25/09/1986;11111111620;São Paulo;RUA CAP MANOEL NOVAES;S/N;;JD SAO BENTO;11927500773;S
ARSELINO ROQUE TATTO;11/10/2003;11111111528;São Paulo;RUA DR ANTONIO SIMOES DE CARVALHO;S/N;;JD SAO BERNARDO;11901149064;N
AELISON ALCANTARA DE QUEIROZ;01/03/1984;11111111394;São Paulo;RUA OLEGARIO MACIEL;19;;JD SAO CARLOS;11942691744;S
DANIEL NEVES DE FARIA;16/10/1986;11111111794;São Paulo;RUA MORRO DAS PEDRAS;S/N;;JD SAO FRANCISCO;11981444253;S
PIERO DI COSIMO;26/07/1956;11111111265;São Paulo;RUA PROF JOAO DE LORENZO;S/N;;JD SAO JORGE;11982684324;S
ALUÍZIO TONIDANDEL;02/08/1969;11111111443;São Paulo;RUA PDE MARIANO RONCHI;1;;JD SAO JOSE;11927500764;S
CICERA MARIA DA CONCEIÇÃO;22/03/1992;11111111711;São Paulo;TV VENEZA DO AMOR;S/N;;JD SAO JOSE;11955712593;S
CAMILO CRISTOFARO MARTINS JUNIOR;05/10/1998;11111111639;São Paulo;PC MONSENHOR ESCRIVA;S/N;;JD SAO JOSE;11933391153;N
ALBERTO RIBEIRO SILVA;13/09/1973;11111111410;São Paulo;RUA ARRAIAL DOS COUROS;S/N;;JD SAO LUIZ;11937731424;N
AILTON BISPO DOS ANJOS;04/04/1975;11111111403;São Paulo;RUA ARRAIAL DOS COUROS;S/N;;JD SAO LUIZ;11939901564;S
CAIO LYSIAS SPINA;12/12/2002;11111111630;São Paulo;AV BORBOLETA AMARELA;S/N;;JD SAO MARTINHO;11930600973;S
MOHAMED AHMED YOUSSEF;21/08/1953;11111111876;São Paulo;RUA PROF JOAQUIM OZORIO DE AZEVEDO;S/N;;JD SAO PAULO;11998855017;S
LUDOVICO MAZZOLINO;08/03/1958;11111111248;São Paulo;RUA IDEAL;S/N;;JD SAO PAULO;11987954664;S
DALCIDES BATISTA DA SILVA NETO;17/09/1986;11111111782;São Paulo;AV UTARO KANAI C/ FESTA CHINESA;S/N;;JD SAO PAULO;11977724013;S
WILSON CAPUTO SANT'ANNA;12/12/2002;11111111581;São Paulo;AV UTARO KANAI C/ FESTA CHINESA;S/N;;JD SAO PAULO;11915409993;N
ADAIRDO DA SILVA;26/10/1982;11111111363;São Paulo;AV PROF ASSIS VELOSO;817;;JD SAO VICENTE;11952302364;N
MARIA DA CONCEIÇÃO DE JESUS MOREIRA;20/07/1974;11111111748;São Paulo;RUA VICTORIA MARCONATO ZONTA;5;;JD SAPOPEMBA;11967183333;N
ALESSANDRO DE ROSE GHILARDI;04/05/1976;11111111895;São Paulo;RUA JOAO LOPES DE LIMA;300;;JD SAPOPEMBA;11998094637;S
DANIEL DE SOUZA CAMPOS;24/05/1992;11111111795;São Paulo;RUA TTE GODOFREDO CERQUEIRA LEITE;213;;JD SAPOPEMBA;11981754273;S
LUCA SIGNORELLI;21/12/1958;11111111247;São Paulo;RUA CLAUDIO SERGIO BERE;S/N;;JD SATELITE;11988264684;N
AILTON SIMÕES FERREIRA;16/04/1989;11111111404;São Paulo;RUA URSA MENOR;286;;JD STA ADELIA;11939591544;N
BENJAMIM DOS SANTOS CARVALHO;30/04/1995;11111111555;São Paulo;RUA CACHOEIRA DE MINAS;S/N;;JD STA ADELIA;11907349473;N
ERCOLE DE' ROBERTI;01/10/1958;11111111207;São Paulo;RUA PHOBUS;S/N;;JD STA BARBARA;11890515484;N
DOSSO DOSSI;22/07/1953;11111111205;São Paulo;RUA MONTE SAO MARTINHO;349;;JD STA CRUZ;11891115524;N
MARINES ALBA FORATO;13/12/1968;11111111337;São Paulo;RUA HENRY LACORDAIRE;S/N;;JD STA FRANCISCA;11960362884;S
CARLOS ALBERTO SARTORI PACHECO;04/08/1983;11111111565;São Paulo;RUA MONS JOAO PEDRO FUSENIG;S/N;;JD STA GERTRUDES;11910449673;S
ANAXÍMENES DE MILETO;18/12/1948;11111111127;São Paulo;RUA SANTA EDITH;357;;JD STA HELENA;11963527484;S
JOSEFA ANADETE DOS SANTOS SILVA;01/08/2002;11111111451;São Paulo;RUA CAMPO DE VINHA;S/N;;JD STA TEREZINHA;11925020604;S
PIETRO PAOLO AGABITO;08/05/1957;11111111266;São Paulo;RUA DUARTE TEIXEIRA CHAVES;S/N;;JD STO ANDRE;11982374304;N
MARIA INES PANINI MANTOVANI;22/02/1979;11111111322;São Paulo;RUA PINTO DA LUZ;329;;JD TIALHA;11965013184;N
FRANCISCO ANGELICO;19/01/1976;11111111210;São Paulo;AV ENGENHO NOVO;S/N;;JD TIETE;11889615424;N
ROSEMARY APARECIDA SOARES BRAMBILLA;19/07/1966;11111111355;São Paulo;RUA TEREZA BORTOLO;S/N;;JD TREMEMBE;11954782524;S
ANTONIO ALEXANDRE GALDI DELGADO;05/12/1969;11111111422;São Paulo;RUA CEL ESDRAS DE OLIVEIRA;S/N;;JD TREMEMBE;11934011184;N
ADRIANA GLEDYS ZINK;22/12/1962;11111111392;São Paulo;RUA BENEDITA MARTINS RAMOS;S/N;;JD TRES CORACOES;11943311784;S
CARLOS ARAUJO SOUTO;24/11/1967;11111111667;São Paulo;RUA IVAN MAIA VASCONCELOS;183;;JD TRIANA;11942071713;N
CAIQUE MAFRA BARBOSA;12/12/2002;11111111631;São Paulo;RUA ENG JOSE BUENO BICALHO;11;;JD TROPICAL;11930910993;S
DILMA TEIXEIRA ALVES;07/08/1949;11111111844;São Paulo;AV BATISTA MACIEL;313;;JD UBIRAJARA;11996945253;S
MARCOS ANTONIO PEREIRA DUARTE;04/08/1957;11111111946;São Paulo;AV ANACE;S/N;;JD UMARIZAL;11996053617;S
AGEU DA CRUZ ALMEIDA;22/10/1991;11111111609;São Paulo;RUA ODEMIS;S/N;;JD UMUARAMA;11924090553;S
ANDREA DAS NEVES NERI DE SANTANA;22/07/1972;11111111473;São Paulo;RUA LUCA DE MARENZIO;S/N;;JD VAZ DE LIMA;11918200164;S
CHRYSTYAN GOMES DA SILVA;22/04/1995;11111111707;São Paulo;RUA LEONOR DE SIQUEIRA;6;;JD VERA CRUZ;11954472513;N
ANDRÉ PEREZ BOLINI;18/01/1999;11111111480;São Paulo;RUA PIRES CALEIRO;205;;JD VERA CRUZ;11916030024;N
GIOVANNI AMBROGIO DE PREDIS;30/03/1970;11111111226;São Paulo;RUA DELFINO FACCHINA;4028;;JD VERA LUCIA;11994775104;S
JOÃO ROBERTO DE SIQUEIRA;16/05/1984;11111111566;São Paulo;RUA ANTONIO VAZ;S/N;;JD VERGUEIRO;11910759693;S
DIANA SOUBIHE DE OLIVEIRA;07/08/1971;11111111838;São Paulo;RUA ANTONIO LEITE PENTEADO;S/N;;JD VERONIA;11995085133;S
ALFREDO SANTOS LOEBELING;01/05/1989;11111111434;São Paulo;RUA BELIZARIO BENITES;115;;JD VERONIA;11930290944;S
ANTONIO POLLAIUOLO;09/05/1967;11111111171;São Paulo;RUA LUIS STOLB;S/N;;JD VILAS BOAS;11982916204;S
JOSÉ AIRTON BARBOSA;12/04/1985;11111111405;São Paulo;RUA ITATIBA DO SUL;4;;JD VISTA ALEGRE;11939281524;N
VALDECIR APARECIDO DO NASCIMENTO;30/07/1982;11111111623;São Paulo;AV BASSANO DEL GRAPA;S/N;;JD VL CARRAO;11928430833;N
CARLOS ALEXANDRE BRAGA;20/05/1992;11111111746;São Paulo;AV DOM AZEREDO COUTINHO;S/N;;JD VL FORMOSA;11966563293;N
ISABELA CRISTINA CARDOSO DA CRUZ;05/06/1994;11111111550;São Paulo;AV DOS PEQUIS;20;;JD VL FORMOSA;11905799373;S
EDSON DE ALMEIDA PASSOS;08/08/1992;11111111972;São Paulo;RUA VOLTAIRE C/ PEDRO NICOLE;S/N;;JD VL MARIANA;11995013097;S
XENÓFANES DE COLÓFON;12/12/1942;11111111152;São Paulo;AV MARIANA DE SOUZA GUERRA;S/N;;JD VL NOVA CARRAO;11963577984;N
DELDI TEIXEIRA SILVA;30/10/1997;11111111818;São Paulo;RUA CARLOS ALBACINI;S/N;;JOSE BONIFACIO;11988884733;N
CHU NENG TE;05/05/1982;11111111811;São Paulo;RUA GASPAR SARDINHA;S/N;;LAGEADO;11986714593;N
FERNANDO DE OURO PRETO;27/04/1963;11111111117;São Paulo;RUA JOSE MARTINS DOS SANTOS;S/N;;LAJEADO;11963523443;N
SERGIO MERLOTI;30/01/1972;11111111358;São Paulo;RUA DARDANELOS;306;;LAPA;11953852464;N
